EPIC_ID,TIC_ID,RA,DEC,(BP-RP)_0,Amag,Dist,Plx,Gmag,AG,BP-RP,E(BP-RP),Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
246792543,TIC 245899292,69.268684,15.660069,2.049588,9.27558320997704,146.053630893264,6.8468,15.652045,0.5539,2.378488,0.3289,3610.1,4.7914,11,152.38481980283382,0.06439897147207706,0.40975675411709744,0.009259765624847205,2471.485372023149,12881.631469726562,13.566887378692627
228729631,TIC 98719813,186.822014,-9.882806,1.138998,6.475410874802872,625.5082254331644,1.5987,15.489976,0.0334,1.156898,0.0179,4760.3,4.4571,1,24.99964608617688,0.10416525033269863,0.10416525033269863,0.10416525033269863,36.68265342712402,36.68265342712402,36.68265342712402
211325490,TIC 366398963,126.135319,10.361187,1.713213,8.167453128833422,265.02703275734126,3.7732,15.726604,0.4427,1.957613,0.2444,3993.7,4.7033,27,150.49349036111926,0.10923441909741356,0.7570107719229782,0.009260073833956994,5954.994981818729,45572.16796875,13.580167293548584
201273850,TIC 38131296,170.211647,-2.846676,1.037903,6.199504257533501,407.2656186364747,2.4554,15.716493,1.4676,1.838503,0.8006,4953.7,4.6572,7,75.5876842259936,0.22817818162652007,0.5972256484478748,0.027777372577475035,65021.48660761969,396224.6337890625,18.157005310058594
220173901,TIC 248380931,18.513533,-1.035251,1.411219,7.023531232976017,447.34723092064064,2.2354,15.598955,0.3222,1.581219,0.17,4399.4,4.664,0,47.54206208600772,0.0,0,0,0.0,0,0
220205909,TIC 344816587,17.468908,0.205649,1.923938,7.981967952578133,363.3456870866942,2.7522,15.856668,0.0731,1.964838,0.0409,3567.0,4.0119,20,98.4649609043588,0.08507372656931693,0.5486437897607175,0.009259337343337393,351.56308114528656,5526.519775390625,14.902019500732422
220174943,TIC 269504898,13.862183,-0.990434,1.735068,7.886509203354921,301.923251109568,3.3121,15.726192,0.4402,1.979468,0.2444,4000.9,4.6769,36,176.5341903705105,0.05073476981633323,0.22223392589012292,0.009259284991912864,-443.2944303510016,17019.482421875,-45314.222823476535
220208332,TIC 399725066,21.054228,0.29655,1.484428,7.47374681854509,380.8653260207191,2.6256,15.781404,0.4038,1.699628,0.2152,4249.4,4.6318,0,47.542161302181285,0.0,0,0,0.0,0,0
220217802,TIC 399702712,20.698887,0.633004,1.869985,8.202846274676206,281.9522372910029,3.5467,15.870524,0.4168,2.108185,0.2382,3824.3,4.6729,19,123.0144245811316,0.1829958348089349,1.0833601195290612,0.009259385202312842,4279.378096680892,74735.46142578125,14.950346946716309
246070011,TIC 9665488,357.427297,-7.8004,1.182134,6.073914902167374,886.7606632969762,1.1277,15.829747,0.0168,1.190934,0.0088,4755.1,4.5266,0,54.70902529558293,0.0,0,0,0.0,0,0
211324534,TIC 468992514,129.185942,10.343136,2.237352,9.02496568162656,233.7267734018932,4.2785,16.347908,0.4794,2.536252,0.2989,3465.2,4.5254,2,48.83399059917974,0.2500061188657128,0.25000885835606823,0.2500033793753573,34.88590121269226,48.65063428878784,21.12116813659668
246033886,TIC 9697881,357.637226,-8.627265,1.749291,8.381360411440538,263.3866252271709,3.7967,15.919529,0.4352,1.991591,0.2423,3897.1,4.7454,40,159.6102094663729,0.08651700362760835,0.5416659843176603,0.009259015056159114,10128.330817431433,210121.875,-6473.408579746658
205936120,TIC 12822186,337.924061,-16.837634,2.313364,8.901626787824364,247.77006937561944,4.036,15.871871,0.0,2.313364,0.0,nan,nan,8,80.17238739355275,0.1579839800953664,0.3263861164637092,0.02777763211315687,516.6512101888657,3459.6878051757812,4.981040954589844
211383783,TIC 366443876,126.650714,11.384914,2.076327,8.55721291303043,213.22416256210155,4.6899,15.709595,0.5082,2.383327,0.307,3667.3,4.2676,46,174.78064048063402,0.11554942021765506,0.9700026440536931,0.009259154413030046,4975.875169038773,106346.58203125,8.95090103149414
245993874,TIC 8990848,354.976475,-9.640757,1.909005,9.09082259993599,219.1108481780933,4.5639,15.921342,0.1272,1.978805,0.0698,3553.4,4.4076,47,159.6443100610379,0.05048301539813729,0.17361487372818374,0.00925897005799925,212.86651301891246,2458.4306716918945,16.39488935470581
235706378,TIC 78301528,258.430223,-29.607296,2.279319,9.419392704674898,191.37290925096644,5.2254,16.384995,0.5562,2.628919,0.3496,3453.8,4.583,0,24.646067300060167,0.0,0,0,0.0,0,0
212177756,TIC 203279515,135.873742,23.678403,1.871131,8.103911953550528,321.08913434369384,3.1144,16.01564,0.3786,2.086731,0.2156,3793.1,4.6132,15,102.31208708888062,0.23101831592014907,1.625008480930319,0.009260097531296196,7015.61608393987,59221.038818359375,34.91255044937134
220173345,TIC 269533267,14.321742,-1.057581,1.893898,8.315499251517926,289.1176130449867,3.4588,15.620872,0.0,1.893898,0.0,nan,nan,23,177.13847352456128,0.05837531028395381,0.21528998270150623,0.018518580263389595,-34.19518048290933,140243.5791015625,-150348.84239255055
220206714,TIC 399722825,20.937578,0.23451,1.601209,7.578057259938781,341.1572052401747,2.9312,15.82583,0.583,1.918809,0.3176,4192.9,4.664,35,176.16091419061922,0.3646957466997654,4.076643091974347,0.009259178549200442,-30122.142709524058,223333.53905935874,-1083594.15726348
248435593,TIC 277798811,155.908518,0.94185,1.4386409999999998,6.834736495601625,542.5641582117086,1.8431,15.841592,0.3346,1.615541,0.1769,4403.6,4.5911,0,49.14662968411676,0.0,0,0,0.0,0,0
201245379,TIC 38116567,170.090598,-3.279466,1.654659,7.75490982288021,313.99145943230343,3.1848,15.678499,0.439,1.894359,0.2397,4052.9,4.6897,7,73.19165193220306,0.2946440018069682,0.8541720636003447,0.09028582767859916,1000.7515754018511,3428.852081298828,30.249130725860596
212319974,TIC 422327162,203.087555,-16.948011,2.038662,8.82585925134415,225.02250225022505,4.444,16.058989,0.472,2.316162,0.2775,3599.2,4.6145,0,50.32691110540122,0.0,0,0,0.0,0,0
248445236,TIC 374271039,159.47842,1.304776,1.434936,7.113200724542962,435.9007889804281,2.2941,15.604139,0.294,1.590336,0.1554,4354.8,4.5741,0,24.562027027935756,0.0,0,0,0.0,0,0
201216811,TIC 49417177,173.510854,-3.715841,1.2076380000000002,6.862143393134444,654.5787785559992,1.5277,16.014553,0.0726,1.246938,0.0393,4573.1,4.5612,0,24.562656321548502,0.0,0,0,0.0,0,0
245940898,TIC 49687091,351.657408,-11.181638,1.2111610000000002,6.637896649423279,641.2722842118765,1.5594,15.685409,0.0123,1.217661,0.0065,4651.3,4.5234,0,54.70872096755761,0.0,0,0,0.0,0,0
246067032,TIC 9098862,357.044816,-7.866597,1.469305,7.224267255230583,484.5195988177722,2.0639,15.867224,0.2164,1.584005,0.1147,4298.6,4.6603,1,54.70900820829365,0.18749952332655084,0.18749952332655084,0.18749952332655084,345.318078994751,345.318078994751,345.318078994751
228738484,TIC 176941473,183.884165,-9.45218,2.297566,9.270752947615406,253.49827621172176,3.9448,16.290628,0.0,2.297566,0.0,nan,nan,2,24.99952696221044,0.23958246491758928,0.3750005281765425,0.10416440165863605,121.55790328979492,122.26970195770264,120.8461046218872
245989833,TIC 8988317,354.713352,-9.74486,1.761604,8.139990910029614,320.72869559639497,3.1179,15.67068,0.0,1.761604,0.0,nan,nan,0,109.41782803055457,0.0,0,0,0.0,0,0
245926035,TIC 5725835,347.94525,-11.910676,1.550266,7.035670674754709,499.9250112483127,2.0003,15.796895,0.2667,1.693666,0.1434,4149.8,4.4769,3,109.41685839288948,0.15277973311860174,0.1666686818934977,0.12500183556880984,-2438.954219656463,12204.743032438164,-19537.9543633207
220224406,TIC 399702755,20.712143,0.863324,2.248462,8.773253811305237,259.34282528073857,3.8559,15.842625,0.0,2.248462,0.0,nan,nan,0,47.54215807683386,0.0,0,0,0.0,0,0
