,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
542, TIC 38116481,3688.97,4.71,0,0,0.0,0,0,0.0,0,0
543, TIC 68500300,3986.21,4.68,6,27.89553008294797,0.5590264367844687,1.6666754591808512,0.08333378505449218,27.233636379241943,56.15499019622803,1.3309001922607422
544, TIC 436636902,4217.07,4.54,4,153.00471633773168,0.15451835662076974,0.27084375778213143,0.05556032696540569,-20870.412984866674,3402.4416737108245,-89354.54492166852
545, TIC 117506452,3642.74,4.71,9,76.92091146366693,0.05015631926966711,0.10417599673337463,0.03472156412772165,547.5202547179329,1800.2269744873047,5.466306209564209
546, TIC 98642180,4092.62,4.64,11,55.8327078935165,0.355428201722444,0.9375088011238404,0.027776884171089478,11.102376200936057,29.494428634643555,2.363753318786621
547, TIC 422335560,3571.53,4.69,0,25.00040634872721,0.0,0,0,0.0,0,0
548, TIC 38132684,3745.97,4.72,0,0,0.0,0,0,0.0,0,0
549, TIC 392321506,4101.41,4.54,4,27.89564373089388,0.4739593836152949,0.9166746219243578,0.16666405536761886,31.753024458885193,67.28943586349487,6.0181379318237305
550, TIC 425465505,3695.76,4.48,17,134.87998591005976,0.3455819497630995,1.4166531641967595,0.03472210428935796,781.7908798202092,8977.866656128619,-5444.538138472511
551, TIC 168686211,3515.14,4.43,1,52.75000506563015,0.3333423311896695,0.3333423311896695,0.3333423311896695,33.05109739303589,33.05109739303589,33.05109739303589
552, TIC 332109115,3607.78,4.68,0,0,0.0,0,0,0.0,0,0
553, TIC 8918789,3976.89,4.6,19,132.7442002343289,0.22442015507523425,1.375047246278882,0.027777662437983963,542.8156928012246,3977.149200439453,0.20852088928222656
554, TIC 12720956,4121.62,4.62,6,134.87944713637125,0.9455733991449051,2.458241129759699,0.055555043705226126,2816.482993187347,9932.707414477783,-3733.574960097968
555, TIC 414944017,4193.8,4.56,0,0,0.0,0,0,0.0,0,0
556, TIC 49522911,3680.36,4.85,3,49.63911823137096,0.7916712539697528,1.2013811165970765,0.20833973070489265,132.51794974009195,231.19080066680908,6.002974510192871
557, TIC 248377503,4212.3,4.33,12,142.98241943167136,0.07812933792956755,0.3472428113541355,0.027779406480021862,188.71794939041138,1117.0844078063965,6.436645984649658
558, TIC 458655184,3567.32,4.64,1,48.83399455271456,0.08333631682830855,0.08333631682830855,0.08333631682830855,3.4260988235473633,3.4260988235473633,3.4260988235473633
559, TIC 366485342,4189.72,4.65,1,48.83389296727887,0.2083399256746361,0.2083399256746361,0.2083399256746361,5.5130839347839355,5.5130839347839355,5.5130839347839355
560, TIC 27650485,3482.88,4.84,1,48.83373422349132,0.22917248705925886,0.22917248705925886,0.22917248705925886,8.387291431427002,8.387291431427002,8.387291431427002
561, TIC 9709268,3502.57,4.13,0,0,0.0,0,0,0.0,0,0
562, TIC 281726323,4201.71,4.53,2,49.12433769563222,0.39583633674601515,0.39583633678148544,0.39583633671054486,5.415928363800049,5.415928363800049,5.415928363800049
563, TIC 175831800,3818.09,4.49,0,0,0.0,0,0,0.0,0,0
564, TIC 435923506,4007.06,4.69,7,305.22852534698427,0.126984082412069,0.41666181382470313,0.02778004030142256,-44218.98881665947,3423.927688598633,-313041.2434667803
565, TIC 111012373,3261.11,4.46,1,25.041416225338025,0.29166963159445913,0.29166963159445913,0.29166963159445913,8.86298418045044,8.86298418045044,8.86298418045044
566, TIC 130691782,3540.19,4.77,0,0,0.0,0,0,0.0,0,0
567, TIC 173102252,3313.78,4.45,1,24.562619996909916,0.2916676712475237,0.2916676712475237,0.2916676712475237,38.30817937850952,38.30817937850952,38.30817937850952
568, TIC 374273463,3563.25,4.65,4,24.56202307708486,0.27083053951355396,0.5416550117022325,0.08333333872201365,50.635987520217896,102.12020874023438,5.718386173248291
569, TIC 243010641,4243.92,4.47,12,178.4697424384981,0.14294581417393223,0.4097538900305153,0.02778035688561431,3482844.715234779,41790931.79271391,2.8620481491088867
570, TIC 173102277,3719.29,4.49,2,49.125242566716224,0.33333452048748313,0.33333452050032975,0.3333345204746365,32.70440101623535,32.70440101623535,32.70440101623535
571, TIC 392170607,3599.09,4.22,3,27.895635241943637,1.0555585554999045,1.6875146944155404,0.6666729011160442,41.539931297302246,56.465160846710205,13.912832736968994
572, TIC 66923180,4033.94,4.39,0,0,0.0,0,0,0.0,0,0
