TICID,RAdeg,DEdeg,Teff,logg
60284308,169.2002779,-3.948443516,6104.3545,4.1265
130691636,204.4694839,-17.43171702,5593.099,4.4038
350546966,229.3021123,-26.05851547,,
437331657,247.9264971,-28.77827763,5827.348,3.9936
138709216,129.9900692,24.9375341,4776.1514,2.5993
85075497,130.3171488,25.03261856,6088.8184,3.6628
293638851,204.8885046,-16.87068314,5000.5415,2.886
98174550,288.4921333,-30.11857433,5750.4927,4.117
388816797,73.87869219,14.87503596,4674.149,2.4651
293638359,137.9263744,24.96618564,6395.3784,3.9355
98681876,97.06816268,16.67124386,7271.632,3.3251
12723721,95.9142533,14.33342026,10823.531,3.8825
23449414,95.62310977,14.23444257,,
436654845,101.6316659,15.67667852,9035.559,3.9148
175698919,102.5161959,16.62947384,8044.4985,4.0849
49417099,98.43502142,16.97147615,9620.11,4.1748
284852092,100.384873,16.46646034,7206.4136,4.1464
9632356,99.47245207,15.2748409,6398.592,4.1279
21221788,95.67088202,15.35614339,6044.729,4.0898
422327942,99.62346861,16.50081034,6111.886,4.0144
369481465,92.75048999,17.17003466,6467.6133,3.773
458655349,91.94058697,17.20614404,6108.5386,3.8965
444034186,97.41156877,14.50414209,6369.611,4.0889
38160002,99.98997527,17.18094768,5878.6816,4.2882
293470764,102.5222007,16.96982166,6213.665,4.0103
392467196,99.88738152,16.94324262,6334.4536,4.0805
357514174,99.85641818,15.79048192,6372.3145,3.5982
366484839,101.4414554,17.12440372,5731.4565,3.8396
162769073,95.43360296,17.1296761,6474.4517,4.1583
186902398,100.180957,15.40258891,6493.0747,4.1587
269532952,98.32101618,15.97799713,6525.988,3.9927
443965709,100.2972938,15.09921216,6721.5635,4.093
468988443,100.1551179,15.64520768,5309.5312,3.0232
0,102.2698284,16.91932719,4852.4067,2.7434
438198910,103.0675683,16.70920848,5083.7246,2.8207
385758388,98.28528102,16.50074145,4955.6733,2.8027
438305999,98.20932563,16.56219642,,
385988992,260.8621587,-30.77297132,6438.79,3.9797
294222175,260.2998261,-30.11529379,,
438520449,231.568307,-25.31801148,,
307584364,135.8133311,25.00156167,6393.3564,4.1355
387613184,247.2674341,-28.31965634,,
311151353,128.9800438,9.977605974,,
468988903,21.51513993,1.553257421,5870.039,4.1728
117278732,235.5313237,-26.69511527,5867.8613,4.1426
126367263,338.3782192,-17.86784798,5905.659,4.2531
293512375,127.7639186,10.88002592,4771.3296,2.3828
49785704,22.06642408,2.664914601,5900.056,4.3204
8995067,353.4530123,-11.43054009,6391.5527,4.0178
293509058,158.6195042,0.21027101,5734.447,4.1435
192819663,234.4538402,-26.1932051,,
205913291,339.6985167,-15.24245189,,
389019492,167.9218156,-1.614652664,,
242937803,206.7430254,-18.02582156,,
277831766,17.63395163,-0.005051351,6000.9062,4.3222
262809052,16.11368957,0.296194714,6539.1167,4.0586
436644413,352.6816078,-12.5722822,6636.9062,4.0293
398572078,352.4519888,-10.38885224,6178.9785,4.1684
161008345,124.7505184,13.2595378,4817.2466,2.5567
293609721,249.0584616,-29.12847693,,
366569058,247.0861744,-27.80598251,,
21289550,132.6113225,11.32296551,5713.55,4.4556
175936698,19.62781008,-0.272705129,5601.691,4.2297
399724647,265.4229106,-29.32980725,,
9051614,237.0582901,-26.17381437,4538.485,2.2202
366443426,204.1980264,-1.225118299,5945.7305,4.2585
83323618,246.1432514,-29.32535635,,
188580272,59.92566273,12.16892314,5628.7163,4.5434
366485026,62.07998445,12.63044076,5401.5625,4.1641
98719868,294.3526261,-28.41186069,5894.0312,4.1857
277747947,257.7301491,-30.34821866,,
186690910,358.469063,-8.030562082,6278.2686,4.0506
374312406,75.92740669,15.87048313,,
386588876,157.9842494,2.247750967,,
23344137,202.8215206,-17.06878198,5733.7163,3.7941
366631362,202.4161535,-16.55512546,4409.29,4.464
183650406,19.83780413,0.444992297,6331.3735,4.0307
9632427,265.1619832,-29.72451437,,
434230702,357.6947465,-8.610536418,6565.804,4.0915
117357463,124.9482713,13.32749976,,
176867428,261.5257738,-30.38758903,6661.3047,3.6676
67978974,129.9132132,24.49594023,,
49687029,204.3927506,-18.0923808,4428.2793,1.9096
49785650,263.4262983,-29.21713823,6829.497,4.014
293702355,176.8282268,-6.003747049,,
168153987,59.96591572,11.71872525,,
411836179,184.0729801,-8.943442094,5912.932,4.1386
242883492,263.0240195,-30.39249364,,
242984921,77.05254744,16.79981472,,
27636527,200.3307238,-1.451170458,,
176911223,207.8546373,-18.04256497,6216.275,4.1579
69763457,58.56920192,12.54176642,,
186287141,133.2503801,23.96730256,6216.3125,4.046
366568582,134.4448067,24.33795816,5674.657,4.0509
335007071,353.2296349,-10.73819347,5686.9697,4.3255
126278009,264.8210839,-29.85019392,,
44473933,334.1917123,-17.10698038,6340.1597,3.7979
68164490,126.8535374,11.29637418,4865.09,2.4527
175938546,259.0060391,-31.0020247,5283.786,4.5691
388671578,61.49704267,14.06978875,,
205520258,78.05333425,16.59133151,,
366527336,130.3321693,10.39795124,4797.1895,2.6425
405680055,234.9154209,-25.74079394,,
402313179,162.5773437,0.281562466,6008.4746,4.1699
130713772,245.4499455,-28.06323293,,
366632260,154.5597505,3.97572234,5474.328,4.0364
117419751,158.8945366,0.180531983,6464.465,3.721
2031563,132.7028118,24.67015252,5807.4395,4.1196
23565907,289.590124,-29.51699412,4530.5337,1.4599
23130542,338.727569,-17.14106504,,
307471986,64.16135377,14.52178695,5446.453,3.0396
438288172,257.9141443,-30.64238261,9471.937,4.1785
307806676,259.4247821,-30.36492556,,
458681751,262.215183,-29.54810565,,
281726286,261.8410657,-30.2457686,5983.82,2.5975
303592908,75.15940597,15.83678824,5958.3496,3.8425
126237232,231.5576888,-25.83132016,5134.86,3.5351
411691477,65.12814518,15.35040669,5952.2427,2.9769
46159778,126.1016806,10.63963242,5973.599,4.3741
59090149,203.1880567,-2.754324143,,
183651728,290.1146147,-29.0327736,4807.3687,2.2185
203279636,230.5831589,-24.79476331,5258.0327,2.7802
414969048,136.1717605,24.80205741,5469.321,4.0623
348722331,232.2935259,-25.40197518,6018.815,3.8594
117220142,261.8354557,-30.67607509,,
9031539,348.275669,-11.56682784,5827.7036,4.3037
126322004,161.7782185,-0.231094021,6402.2563,4.2675
9051765,169.9590195,-3.931622679,,
168438554,130.8119602,11.42037145,,
145750664,262.3974267,-30.33595955,7824.3857,3.8743
396846792,354.4746246,-9.911973576,,
173163511,153.4205515,3.911694882,4142.8374,4.6307
366622859,133.4295541,24.60094609,5181.3135,4.4812
366528408,133.0617396,10.01146082,6143.244,3.8382
126369306,131.875749,10.38155968,5969.953,3.6583
392323406,124.0785975,12.94831041,4872.023,2.4782
49736084,357.9920927,-7.445526587,4688.6484,2.2894
311148835,64.72558125,15.08623277,6177.062,3.6451
649944857,64.72272083,15.08866188,,
203279234,127.6096118,12.15172929,4909.604,2.6922
436706264,123.9305659,13.01791095,5688.081,4.1861
49733690,291.0234755,-28.01764143,,
130717850,129.9956036,11.48127436,6130.829,4.1567
117166247,348.1589413,-11.89928058,,
152802579,182.0613606,-10.01096265,,
38141879,137.6334125,23.63619423,5607.814,4.4613
100423991,124.5763192,13.42758537,,
175587777,257.2741033,-31.3703296,,
68499562,154.4052997,3.931090623,6451.3545,4.1737
277833306,232.2983004,-26.44547013,5639.5913,4.3243
436640580,229.390341,-24.68545812,,
23761237,76.06498668,15.10900306,5853.1743,4.1271
147782406,231.62285,-24.88330596,6107.0596,4.0136
175698422,202.3397633,-2.491161928,4688.247,2.2301
436727439,339.5849047,-16.72203651,5918.759,3.9366
458687029,258.6271671,-31.17506022,5268.0527,4.3882
98581108,248.4966254,-28.32489966,6556.54,3.6382
